HOUR_,open,high,low,close,op_bought,op_sold,eth_bought,eth_sold,op_fees,eth_fees,trade_count,vwap_24h,vwap_168h
2026-01-01 11:00:00,10897.49088985361,10897.49088985361,10881.882983750762,10884.491948213255,1474.0869521549957,160.0,0.014657470676171337,0.13571976446000483,0.48,0.0004071592933800145,4,11217.582293560477,11217.582293560477
2026-01-01 12:00:00,10884.491992666597,10947.854162322725,10884.491992569827,10912.744983900244,2239.1912624157067,3874.6887769898212,0.35388707939740155,0.2054844665132088,11.624066330969464,0.0006164533995396265,18,11200.566117371718,11200.566117371718
2026-01-01 13:00:00,10907.168071756993,10907.168071756993,10781.6737651845,10781.6737651845,9034.598676135327,256.26992777885584,0.023463979299131597,0.8353430606965387,0.7688097833365676,0.0025060291820896163,20,11171.67810419637,11171.67810419637
2026-01-01 14:00:00,10776.489742041877,10776.489742041877,10711.409160120209,10711.40916049162,4908.55818291981,0.002751844859472544,2.54888583393e-07,0.458127065433514,8.255534578417631e-06,0.001374381196300542,16,11153.879175035654,11153.879175035654
2026-01-01 15:00:00,10719.050252639481,10719.050252639481,10594.321828139015,10621.614898897826,11056.618640969333,4209.976050150707,0.3946195996818519,1.0408994928917363,12.629928150452121,0.003122698478675209,27,11095.396472033237,11095.396472033237
2026-01-01 16:00:00,10615.953588537524,10615.953588537524,10546.13006143226,10546.13006143226,7164.294141514791,588.3048988605908,0.05543619960058838,0.6789732405031284,1.7649146965817724,0.002036919721509385,19,11066.713129549336,11066.713129549336
2026-01-01 17:00:00,10539.871744167864,10539.871744167864,10414.955945533356,10456.861618630175,11942.05095431868,4171.231046485122,0.3983998664374273,1.1429696884797498,12.513693139455365,0.003428909065439249,39,11003.968506118179,11003.968506118179
2026-01-01 18:00:00,10456.861650766605,10456.861650766605,10432.611049266543,10432.611049266543,2331.2779431221124,280.0027260273973,0.026710204629120028,0.22385553010297082,0.8400081780821917,0.0006715665903089124,7,10994.595931891927,10994.595931891927
2026-01-01 19:00:00,10427.227262920576,10427.227262920576,10275.13348752821,10275.13348752821,17120.367346321083,640.8847944143868,0.061718071795908554,1.659064912203881,1.9226543832431602,0.004977194736611643,39,10927.971771459612,10927.971771459612
2026-01-01 20:00:00,10271.315796178325,10309.319482529669,10239.495159945749,10300.30265871351,5004.197126782684,8095.057789769759,0.7855179745482574,0.48886227133751314,24.28517336930928,0.0014665868140125394,30,10881.450082541325,10881.450082541325
2026-01-01 21:00:00,10305.734513442492,10315.815396857335,10305.734513442492,10309.21460281548,767.2533309077892,1808.9065407409616,0.1749582852421484,0.0746240908625896,5.426719622222885,0.00022387227258776878,9,10873.624349777005,10873.624349777005
2026-01-01 22:00:00,10305.439960132126,10305.439960132126,10147.024149644792,10147.024149644792,18526.00023008837,0.0027260273972592,2.64512809061e-07,1.8165587368098968,8.1780821917776e-06,0.005449676210429691,41,10814.985726111638,10814.985726111638
2026-01-01 23:00:00,10137.278800550455,10137.278800550455,10106.03672941549,10133.256313443242,3185.7252733074474,2250.702544886153,0.2217386271932163,0.31554007368581455,6.7521076346584605,0.0009466202210574436,12,10796.905680354275,10796.905680354275
2026-01-02 00:00:00,10129.225680339385,10129.225680339385,10113.98596124802,10127.444531054043,1613.2514710021253,1130.2603308232394,0.11134290131862526,0.15983475668302669,3.390780992469718,0.0004795042700490801,9,10788.12442515934,10788.12442515934
2026-01-02 01:00:00,10122.762863854017,10122.762863854017,10064.700112123228,10072.49282946644,5704.368791322602,1317.6263528050856,0.13041561267151372,0.5668257475868307,3.952879058415257,0.0017004772427604922,21,10755.83844828546,10765.448540944537
2026-01-02 02:00:00,10077.467530491365,10089.9839702095,10077.467530491365,10089.9839702095,0.0,1377.6976061533373,0.13624963280412838,0.0,4.133092818460012,0.0,5,10747.455059994352,10761.166496041353
2026-01-02 03:00:00,10083.017834278608,10096.72898296478,10055.67664380032,10096.72898296478,3928.7157110448343,4471.492239343883,0.4424344359525254,0.3911613346844823,13.414476718031649,0.0011734840040534468,20,10496.30074917177,10735.748003909548
2026-01-02 04:00:00,10096.729017600794,10146.139228379576,10096.72901753085,10111.325383610985,2906.9048597575015,4064.053335519767,0.4003120736754117,0.2878587922677244,12.192160006559302,0.0008635763768031731,18,10480.415429540153,10717.64253562033
2026-01-02 05:00:00,10115.683740189617,10115.683740189617,10115.683740189617,10115.683740189617,0.0,357.7773036204619,0.035269963051088406,0.0,1.0733319108613857,0.0,1,10474.747353402672,10716.728815650213
2026-01-02 06:00:00,10115.683772770217,10171.723069436879,10115.683772770217,10171.723069436879,0.0,4674.378519882095,0.45943527248120275,0.0,14.023135559646287,0.0,15,10425.533780628886,10705.66063663245
2026-01-02 07:00:00,10176.640577255977,10241.474692119802,10176.640577255977,10241.474692119802,0.0,5765.283766154024,0.5631674609911678,0.0,17.295851298462075,0.0,14,10414.808445292001,10694.144807544772
2026-01-02 08:00:00,10241.47472516216,10257.772141087577,10232.980739165634,10257.772141087577,698.8049728415571,2044.929054264814,0.19899666666823096,0.06846655897306435,6.134787162794443,0.00020539967691919305,11,10401.346332163557,10689.24318776874
2026-01-02 09:00:00,10262.06669685574,10299.173092460833,10208.128593986552,10217.151213058198,7484.554286022174,4154.946578585054,0.40349181497579567,0.7321440539866704,12.464839735755163,0.0021964321619600113,30,10378.239927622153,10670.061009159976
2026-01-02 10:00:00,10217.151246060166,10274.375180180083,10217.151246060166,10274.375180180083,0.0,4720.211924323341,0.4593186030418644,0.0,14.160635772970025,0.0,15,10368.68313728477,10662.6409138733
2026-01-02 11:00:00,10261.802035156186,10290.759969028033,10261.802035156186,10290.759969028033,1032.8792876136692,2385.0910512200176,0.23140065339971402,0.10089389399640403,7.155273153660054,0.0003026816819892121,7,10362.343657459109,10657.758329768352
2026-01-02 12:00:00,10290.760002148672,10290.760002148672,10153.533412439927,10153.533412439927,11308.424467051622,0.0027260273972592,2.64105791882e-07,1.1096264796946704,8.1780821917776e-06,0.003328879439084011,25,10335.880253317691,10640.082267473446
2026-01-02 13:00:00,10148.115248073682,10168.981671301402,10124.12966432445,10168.981671301402,2445.538240031944,3740.1866047518088,0.3675114270392097,0.2419311831299206,11.220559814255427,0.0007257935493897618,12,10304.410317732702,10629.35822690417
