date,sqrtpx96,price_op_per_eth,budget_eth,eth_deposited,op_deposited,liquidity_added,cumulative_liquidity,pool_liquidity,liquidity_share,fees_earned_eth,fees_earned_op,cumulative_fees_eth,cumulative_fees_op
2026-01-02,7975429818525934703395830747911,10133.256313443242,0.7169671788241134,0.39224973704192045,3290.4450670245456,308463931817173254144,308463931817173254144,16721324163255026843648,0.0181131984787545,0.0003876305690837932,4.428407889649606,0.0003876305690837932,4.428407889649606
2026-01-03,8016273427933913471770734841329,10237.310526470344,0.6694578652073105,0.35334513773631304,3236.144152490094,289388073084684828672,597852004901858082816,17000892354739537182720,0.0339712875353137,0.0005575998435872664,4.010742273587595,0.0009452304126710597,8.439150163237201
2026-01-04,7941520512158402332906757415000,10047.271926388104,0.4458770915918819,0.25112066264268,1956.7708010649155,191105830785441529856,788957835687299612672,18453176619659102781440,0.04100157586561758,0.0009771312746359646,7.162862840689392,0.0019223616873070243,15.602013003926594
2026-01-05,7855960616749546070564526360818,9831.944711681192,0.4858661351816262,0.2936096982173925,1890.2546586971655,206375851402299932672,995333687089599545344,19282722181966743994368,0.04908427580616574,0.0010752926236318062,9.992889699180036,0.0029976543109388304,25.59490270310663
2026-01-06,7839804605633956506220870360544,9791.546934475995,0.7624406492894873,0.46672132349377166,2895.5496579603473,323331295806429462528,1318664982896029007872,17078045420209888559104,0.07167939017365836,0.0018357607175748974,20.89304768669548,0.004833415028513728,46.48795038980211
2026-01-07,7901000676387978151996618551306,9945.00556464818,0.7811140927055468,0.4550644624675564,3242.565387068296,333330883404418514944,1651995866300447522816,18321686555794935382016,0.08270862785286748,0.0021019532612854106,23.049606157331503,0.006935368289799139,69.53755654713362
2026-01-08,7919397636801029594069570991153,9991.372065265128,0.7924533273086929,0.4546843193174667,3374.775830955851,338833937252729159680,1990829803553176682496,19482927198184480440320,0.09270989717319046,0.002940266147126316,25.9900012303563,0.009875634436925455,95.52755777748992
2026-01-09,7870507387839902967538803925109,9868.389768614541,0.8721475436956935,0.5209038315317135,3466.209855409211,370999819735244275712,2361829623288420958208,19785698958861070761984,0.106640775494563,0.001919812802763641,16.361210357618614,0.011795447239689096,111.88876813510853
2026-01-10,7839130534626754940974399700109,9789.863240942359,0.7527792379393065,0.46105384514585546,2855.951699358077,319212858882185297920,2681042482170606256128,15155817808010047127552,0.1503091036513048,0.0023606825009359076,19.960970049495256,0.014156129740625002,131.84973818460378
2026-01-11,7807288290000000000000000000000,9710.492678420205,0.3501145017201303,0.21987325529544463,1264.706669835232,148006309491863552000,2829048791662469808128,15798896525242647183360,0.15187122055243898,0.0010673004701061452,17.652356871894767,0.015223430210731147,149.50209505649855
2026-01-12,7886976616709780950371803289236,9909.732671983684,0.38892680693326265,0.22920434309010246,1582.806918396297,165725770617552863232,2994774562280022671360,17469042420457335160832,0.1463448663954687,0.0031334307137937186,34.736519310734664,0.018356860924524866,184.2386143672332
2026-01-13,7933494216241725574846123407251,10026.973137032272,0.6479993433589958,0.36743707002274634,2813.190378007279,277492587332420698112,3272267149612443369472,14249132293630304714752,0.18675832145784546,0.012131542314562834,73.14922371060122,0.0304884032390877,257.38783807783443
2026-01-14,7537820128808836349433348833461,9051.74628188108,1.1903207004195064,0.9104174327524717,2533.6133623914466,492558206680052137984,3764825356292495507456,16897384485002753867776,0.1822082625822607,0.0028739651833861327,50.041062669448586,0.03336236842247383,307.428900747283
2026-01-15,7738915522221987463694495873666,9541.157047440945,0.7396195063769349,0.48944881535458196,2386.9178517110936,310717079407741435904,4075542435700236943360,21023712975437313343488,0.16237702549103328,0.004997887746861135,56.1675655459604,0.038360256169334965,363.59646629324345
2026-01-16,7814337307150474468933255038693,9728.035345624694,0.6391023229841624,0.39915469268406456,2334.219028658238,270354421380886495232,4345896857081123438592,24462906219464872689664,0.15085308631302466,0.004255748412127628,40.57572728147336,0.04261600458146259,404.1721935747168
2026-01-17,7809487615736218935281426630020,9715.964371984232,0.5819465129199525,0.36483813542725296,2109.4172605783715,246061881392684728320,4591958738473808166912,17969425081568723992576,0.20353178577612405,0.00586137774215055,45.301795376990455,0.04847738232361314,449.47398895170727
2026-01-18,7739296440760714413211732191268,9542.096324535947,0.5640886042113216,0.373182930928818,1821.6403233620376,236983746106586234880,4828942484580394401792,105751376412832700563456,0.043669095303118736,0.0047243239431419524,76.70607767607308,0.05320170626675509,526.1800666277803
2026-01-19,7974081974263001141460033923517,10129.83157080361,0.5839950645501674,0.3198742004046458,2675.4998681292354,251216320696079024128,5080158805276473425920,32955436999864769052672,0.13356327665543738,0.014980348075365107,151.45833050973718,0.0681820543421202,677.6383971375175
2026-01-20,7909057237411806301855636211324,9965.297524495623,1.1865189706075745,0.6866614938446624,4981.228475786077,506765440544961593344,5586924245821435019264,144754782327987276611584,0.03716150609929782,0.012113477406644594,108.65883228242917,0.08029553174876479,786.2972294199467
2026-01-21,7843038485390571704486823701824,9799.626527723995,1.0091230669038205,0.6161400719537438,3851.0865822571964,428080112382276730880,6015004358203711750144,23975979962393713180672,0.20056041822117465,0.009826607748474667,83.64897808883764,0.09012213949723946,869.9462075087844
2026-01-22,7791390559999284718866702330419,9670.986614128276,1.080179024645672,0.6867803003838525,3804.5537963511965,455946785884216950784,6470951144087928700928,141171600700661433368576,0.043828497023624534,0.007548498075914927,67.343185112662,0.09767063757315439,937.2893926214464
